ID,SourceCurrency,DestinationCurrency,SourceAmount
607,EUR,AUD,192719.95
608,EUR,INR,193035.8
609,USD,EUR,193351.65
610,EUR,AUD,193667.5
611,EUR,AUD,193983.35
612,EUR,INR,194299.2
613,USD,EUR,194615.05
614,EUR,AUD,194930.9
615,EUR,AUD,195246.75
616,EUR,INR,195562.6
617,USD,EUR,195878.45
618,EUR,AUD,196194.3
619,EUR,AUD,196510.15
620,EUR,INR,196826
621,USD,EUR,197141.85
622,EUR,AUD,197457.7
623,EUR,AUD,197773.55
624,EUR,INR,198089.4
625,USD,EUR,198405.25
626,EUR,AUD,198721.1
627,EUR,AUD,199036.95
628,EUR,INR,199352.8
629,USD,EUR,199668.65
630,EUR,AUD,199984.5
631,EUR,AUD,200300.35
632,EUR,INR,200616.2
633,USD,EUR,200932.05
634,EUR,AUD,201247.9
635,EUR,AUD,201563.75
636,EUR,INR,201879.6
637,USD,EUR,202195.45
638,EUR,AUD,202511.3
639,EUR,AUD,202827.15
640,EUR,INR,203143
641,USD,EUR,203458.85
642,EUR,AUD,203774.7
643,EUR,AUD,204090.55
644,EUR,INR,204406.4
645,USD,EUR,204722.25
646,EUR,AUD,205038.1
647,EUR,AUD,205353.95
648,EUR,INR,205669.8
649,USD,EUR,205985.65
650,EUR,AUD,206301.5
651,EUR,AUD,206617.35
652,EUR,INR,206933.2
653,USD,EUR,207249.05
654,EUR,AUD,207564.9
655,EUR,AUD,207880.75
656,EUR,INR,208196.6
657,USD,EUR,208512.45
658,EUR,AUD,208828.3
659,EUR,AUD,209144.15
660,EUR,INR,209460
661,USD,EUR,209775.85
662,EUR,AUD,210091.7
663,EUR,AUD,210407.55
664,EUR,INR,210723.4
665,USD,EUR,211039.25
666,EUR,AUD,211355.1
667,EUR,AUD,211670.95
668,EUR,INR,211986.8
669,USD,EUR,212302.65
670,EUR,AUD,212618.5
671,EUR,AUD,212934.35
672,EUR,INR,213250.2
673,USD,EUR,213566.05
674,EUR,AUD,213881.9
675,EUR,AUD,214197.75
676,EUR,INR,214513.6
677,USD,EUR,214829.45
678,EUR,AUD,215145.3
679,EUR,AUD,215461.15
680,EUR,INR,215777
681,USD,EUR,216092.85
682,EUR,AUD,216408.7
683,EUR,AUD,216724.55
684,EUR,INR,217040.4
685,USD,EUR,217356.25
686,EUR,AUD,217672.1
687,EUR,AUD,217987.95
688,EUR,INR,218303.8
689,USD,EUR,218619.65
690,EUR,AUD,218935.5
691,EUR,AUD,219251.35
692,EUR,INR,219567.2
693,USD,EUR,219883.05
694,EUR,AUD,220198.9
695,EUR,AUD,220514.75
696,EUR,INR,220830.6
697,USD,EUR,221146.45
698,EUR,AUD,221462.3
699,EUR,AUD,221778.15
700,EUR,INR,222094
701,USD,EUR,222409.85
702,EUR,AUD,222725.7
703,EUR,AUD,223041.55
704,EUR,INR,223357.4
705,USD,EUR,223673.25
706,EUR,AUD,223989.1
707,EUR,AUD,224304.95
708,EUR,INR,224620.8
709,USD,EUR,224936.65
710,EUR,AUD,225252.5
711,EUR,AUD,225568.35
712,EUR,INR,225884.2
713,USD,EUR,226200.05
714,EUR,AUD,226515.9
715,EUR,AUD,226831.75
716,EUR,INR,227147.6
717,USD,EUR,227463.45
718,EUR,AUD,227779.3
719,EUR,AUD,228095.15
720,EUR,INR,228411
721,USD,EUR,228726.85
722,EUR,AUD,229042.7
723,EUR,AUD,229358.55
724,EUR,INR,229674.4
725,USD,EUR,229990.25
726,EUR,AUD,230306.1
727,EUR,AUD,230621.95
728,EUR,INR,230937.8
729,USD,EUR,231253.65
730,EUR,AUD,231569.5
731,EUR,AUD,231885.35
732,EUR,INR,232201.2
733,USD,EUR,232517.05
734,EUR,AUD,232832.9
735,EUR,AUD,233148.75
736,EUR,INR,233464.6
737,USD,EUR,233780.45
738,EUR,AUD,234096.3
739,EUR,AUD,234412.15
740,EUR,INR,234728
741,USD,EUR,235043.85
742,EUR,AUD,235359.7
743,EUR,AUD,235675.55
744,EUR,INR,235991.4
745,USD,EUR,236307.25
746,EUR,AUD,236623.1
747,EUR,AUD,236938.95
748,EUR,INR,237254.8
749,USD,EUR,237570.65
750,EUR,AUD,237886.5
751,EUR,AUD,238202.35
752,EUR,INR,238518.2
753,USD,EUR,238834.05
754,EUR,AUD,239149.9
755,EUR,AUD,239465.75
756,EUR,INR,239781.6
757,USD,EUR,240097.45
758,EUR,AUD,240413.3
759,EUR,AUD,240729.15
760,EUR,INR,241045
761,USD,EUR,241360.85
762,EUR,AUD,241676.7
763,EUR,AUD,241992.55
764,EUR,INR,242308.4
765,USD,EUR,242624.25
766,EUR,AUD,242940.1
767,EUR,AUD,243255.95
768,EUR,INR,243571.8
769,USD,EUR,243887.65
770,EUR,AUD,244203.5
771,EUR,AUD,244519.35
772,EUR,INR,244835.2
773,USD,EUR,245151.05
774,EUR,AUD,245466.9
775,EUR,AUD,245782.75
776,EUR,INR,246098.6
777,USD,EUR,246414.45
778,EUR,AUD,246730.3
779,EUR,AUD,247046.15
780,EUR,INR,247362
781,USD,EUR,247677.85
782,EUR,AUD,247993.7
783,EUR,AUD,248309.55
784,EUR,INR,248625.4
785,USD,EUR,248941.25
786,EUR,AUD,249257.1
787,EUR,AUD,249572.95
788,EUR,INR,249888.8
789,USD,EUR,250204.65
790,EUR,AUD,250520.5
791,EUR,AUD,250836.35
792,EUR,INR,251152.2
793,USD,EUR,251468.05
794,EUR,AUD,251783.9
795,EUR,AUD,252099.75
796,EUR,INR,252415.6
797,USD,EUR,252731.45
798,EUR,AUD,253047.3
799,EUR,AUD,253363.15
800,EUR,INR,253679
801,USD,EUR,253994.85
802,EUR,AUD,254310.7
803,EUR,AUD,254626.55
804,EUR,INR,254942.4
805,USD,EUR,255258.25
806,EUR,AUD,255574.1
807,EUR,AUD,255889.95
808,EUR,INR,256205.8
809,USD,EUR,256521.65
810,EUR,AUD,256837.5
811,EUR,AUD,257153.35
812,EUR,INR,257469.2
813,USD,EUR,257785.05
814,EUR,AUD,258100.9
815,EUR,AUD,258416.75
816,EUR,INR,258732.6
817,USD,EUR,259048.45
818,EUR,AUD,259364.3
819,EUR,AUD,259680.15
820,EUR,INR,259996
821,USD,EUR,260311.85
822,EUR,AUD,260627.7
823,EUR,AUD,260943.55
824,EUR,INR,261259.4
825,USD,EUR,261575.25
826,EUR,AUD,261891.1
827,EUR,AUD,262206.95
828,EUR,INR,262522.8
829,USD,EUR,262838.65
830,EUR,AUD,263154.5
831,EUR,AUD,263470.35
832,EUR,INR,263786.2
833,USD,EUR,264102.05
834,EUR,AUD,264417.9
835,EUR,AUD,264733.75
836,EUR,INR,265049.6
837,USD,EUR,265365.45
838,EUR,AUD,265681.3
839,EUR,AUD,265997.15
840,EUR,INR,266313
841,USD,EUR,266628.85
842,EUR,AUD,266944.7
843,EUR,AUD,267260.55
844,EUR,INR,267576.4
845,USD,EUR,267892.25
846,EUR,AUD,268208.1
847,EUR,AUD,268523.95
848,EUR,INR,268839.8
849,USD,EUR,269155.65
850,EUR,AUD,269471.5
851,EUR,AUD,269787.35
852,EUR,INR,270103.2
853,USD,EUR,270419.05
854,EUR,AUD,270734.9
855,EUR,AUD,271050.75
856,EUR,INR,271366.6
857,USD,EUR,271682.45
858,EUR,AUD,271998.3
859,EUR,AUD,272314.15
860,EUR,INR,272630
861,USD,EUR,272945.85
862,EUR,AUD,273261.7
863,EUR,AUD,273577.55
864,EUR,INR,273893.4
865,USD,EUR,274209.25
866,EUR,AUD,274525.1
867,EUR,AUD,274840.95
868,EUR,INR,275156.8
869,USD,EUR,275472.65
870,EUR,AUD,275788.5
871,EUR,AUD,276104.35
872,EUR,INR,276420.2
873,USD,EUR,276736.05
874,EUR,AUD,277051.9
875,EUR,AUD,277367.75
876,EUR,INR,277683.6
877,USD,EUR,277999.45
878,EUR,AUD,278315.3
879,EUR,AUD,278631.15
880,EUR,INR,278947
881,USD,EUR,279262.85
882,EUR,AUD,279578.7
883,EUR,AUD,279894.55
884,EUR,INR,280210.4
885,USD,EUR,280526.25
886,EUR,AUD,280842.1
887,EUR,AUD,281157.95
888,EUR,INR,281473.8
889,USD,EUR,281789.65
890,EUR,AUD,282105.5
891,EUR,AUD,282421.35
892,EUR,INR,282737.2
893,USD,EUR,283053.05
894,EUR,AUD,283368.9
895,EUR,AUD,283684.75
896,EUR,INR,284000.6
897,USD,EUR,284316.45
898,EUR,AUD,284632.3
899,EUR,AUD,284948.15
900,EUR,INR,285264
901,USD,EUR,285579.85
902,EUR,AUD,285895.7
903,EUR,AUD,286211.55
904,EUR,INR,286527.4
905,USD,EUR,286843.25
906,EUR,AUD,287159.1
907,EUR,AUD,287474.95
908,EUR,INR,287790.8
909,USD,EUR,288106.65
910,EUR,AUD,288422.5
911,EUR,AUD,288738.35
912,EUR,INR,289054.2
913,USD,EUR,289370.05
914,EUR,AUD,289685.9
915,EUR,AUD,290001.75
916,EUR,INR,290317.6
917,USD,EUR,290633.45
918,EUR,AUD,290949.3
919,EUR,AUD,291265.15
920,EUR,INR,291581
921,USD,EUR,291896.85
922,EUR,AUD,292212.7
923,EUR,AUD,292528.55
924,EUR,INR,292844.4
925,USD,EUR,293160.25
926,EUR,AUD,293476.1
927,EUR,AUD,293791.95
928,EUR,INR,294107.8
929,USD,EUR,294423.65
930,EUR,AUD,294739.5
931,EUR,AUD,295055.35
932,EUR,INR,295371.2
933,USD,EUR,295687.05
934,EUR,AUD,296002.9
935,EUR,AUD,296318.75
936,EUR,INR,296634.6
937,USD,EUR,296950.45
938,EUR,AUD,297266.3
939,EUR,AUD,297582.15
940,EUR,INR,297898
941,USD,EUR,298213.85
942,EUR,AUD,298529.7
943,EUR,AUD,298845.55
944,EUR,INR,299161.4
945,USD,EUR,299477.25
946,EUR,AUD,299793.1
947,EUR,AUD,300108.95
948,EUR,INR,300424.8
949,USD,EUR,300740.65
950,EUR,AUD,301056.5
951,EUR,AUD,301372.35
952,EUR,INR,301688.2
953,USD,EUR,302004.05
954,EUR,AUD,302319.9
955,EUR,AUD,302635.75
956,EUR,INR,302951.6
957,USD,EUR,303267.45
958,EUR,AUD,303583.3
959,EUR,AUD,303899.15
960,EUR,INR,304215
961,USD,EUR,304530.85
962,EUR,AUD,304846.7
963,EUR,AUD,305162.55
964,EUR,INR,305478.4
965,USD,EUR,305794.25
966,EUR,AUD,306110.1
967,EUR,AUD,306425.95
968,EUR,INR,306741.8
969,USD,EUR,307057.65
970,EUR,AUD,307373.5
971,EUR,AUD,307689.35
972,EUR,INR,308005.2
973,USD,EUR,308321.05
974,EUR,AUD,308636.9
975,EUR,AUD,308952.75
976,EUR,INR,309268.6
977,USD,EUR,309584.45
978,EUR,AUD,309900.3
979,EUR,AUD,310216.15
980,EUR,INR,310532
981,USD,EUR,310847.85
982,EUR,AUD,311163.7
983,EUR,AUD,311479.55
984,EUR,INR,311795.4
985,USD,EUR,312111.25
986,EUR,AUD,312427.1
987,EUR,AUD,312742.95
988,EUR,INR,313058.8
989,USD,EUR,313374.65
990,EUR,AUD,313690.5
991,EUR,AUD,314006.35
992,EUR,INR,314322.2
993,USD,EUR,314638.05
994,EUR,AUD,314953.9
995,EUR,AUD,315269.75
996,EUR,INR,315585.6
997,USD,EUR,315901.45
998,EUR,AUD,316217.3
999,EUR,AUD,316533.15
1000,EUR,INR,316849
1001,USD,EUR,317164.85
1002,EUR,AUD,317480.7
1003,EUR,AUD,317796.55
1004,EUR,INR,318112.4
1005,USD,EUR,318428.25
1006,EUR,AUD,318744.1
1007,EUR,AUD,319059.95
1008,EUR,INR,319375.8
1009,USD,EUR,319691.65
1010,EUR,AUD,320007.5
1011,EUR,AUD,320323.35
1012,EUR,INR,320639.2
1013,USD,EUR,320955.05
1014,EUR,AUD,321270.9
1015,EUR,AUD,321586.75
1016,EUR,INR,321902.6
1017,USD,EUR,322218.45
1018,EUR,AUD,322534.3
1019,EUR,AUD,322850.15
1020,EUR,INR,323166
1021,USD,EUR,323481.85
1022,EUR,AUD,323797.7
1023,EUR,AUD,324113.55
1024,EUR,INR,324429.4
1025,USD,EUR,324745.25
1026,EUR,AUD,325061.1
1027,EUR,AUD,325376.95
1028,EUR,INR,325692.8
1029,USD,EUR,326008.65
1030,EUR,AUD,326324.5
1031,EUR,AUD,326640.35
1032,EUR,INR,326956.2
1033,USD,EUR,327272.05
1034,EUR,AUD,327587.9
1035,EUR,AUD,327903.75
1036,EUR,INR,328219.6
1037,USD,EUR,328535.45
1038,EUR,AUD,328851.3
1039,EUR,AUD,329167.15
1040,EUR,INR,329483
1041,USD,EUR,329798.85
1042,EUR,AUD,330114.7
1043,EUR,AUD,330430.55
1044,EUR,INR,330746.4
1045,USD,EUR,331062.25
1046,EUR,AUD,331378.1
1047,EUR,AUD,331693.95
1048,EUR,INR,332009.8
1049,USD,EUR,332325.65
1050,EUR,AUD,332641.5
1051,EUR,AUD,332957.35
1052,EUR,INR,333273.2
1053,USD,EUR,333589.05
1054,EUR,AUD,333904.9
1055,EUR,AUD,334220.75
1056,EUR,INR,334536.6
1057,USD,EUR,334852.45
1058,EUR,AUD,335168.3
1059,EUR,AUD,335484.15
1060,EUR,INR,335800
1061,USD,EUR,336115.85
1062,EUR,AUD,336431.7
1063,EUR,AUD,336747.55
1064,EUR,INR,337063.4
1065,USD,EUR,337379.25
1066,EUR,AUD,337695.1
1067,EUR,AUD,338010.95
1068,EUR,INR,338326.8
1069,USD,EUR,338642.65
1070,EUR,AUD,338958.5
1071,EUR,AUD,339274.35
1072,EUR,INR,339590.2
1073,USD,EUR,339906.05
1074,EUR,AUD,340221.9
1075,EUR,AUD,340537.75
1076,EUR,INR,340853.6
1077,USD,EUR,341169.45
1078,EUR,AUD,341485.3
1079,EUR,AUD,341801.15
1080,EUR,INR,342117
1081,USD,EUR,342432.85
1082,EUR,AUD,342748.7
1083,EUR,AUD,343064.55
1084,EUR,INR,343380.4
1085,USD,EUR,343696.25
1086,EUR,AUD,344012.1
1087,EUR,AUD,344327.95
1088,EUR,INR,344643.8
1089,USD,EUR,344959.65
1090,EUR,AUD,345275.5
1091,EUR,AUD,345591.35
1092,EUR,INR,345907.2
1093,USD,EUR,346223.05
1094,EUR,AUD,346538.9
1095,EUR,AUD,346854.75
1096,EUR,INR,347170.6
1097,USD,EUR,347486.45
1098,EUR,AUD,347802.3
1099,EUR,AUD,348118.15
1100,EUR,INR,348434
1101,USD,EUR,348749.85
1102,EUR,AUD,349065.7
1103,EUR,AUD,349381.55
1104,EUR,INR,349697.4
1105,USD,EUR,350013.25
1106,EUR,AUD,350329.1
1107,EUR,AUD,350644.95
1108,EUR,INR,350960.8
1109,USD,EUR,351276.65
1110,EUR,AUD,351592.5
1111,EUR,AUD,351908.35
1112,EUR,INR,352224.2
1113,USD,EUR,352540.05
1114,EUR,AUD,352855.9
1115,EUR,AUD,353171.75
1116,EUR,INR,353487.6
1117,USD,EUR,353803.45
1118,EUR,AUD,354119.3
1119,EUR,AUD,354435.15
1120,EUR,INR,354751
1121,USD,EUR,355066.85
1122,EUR,AUD,355382.7
1123,EUR,AUD,355698.55
1124,EUR,INR,356014.4
1125,USD,EUR,356330.25
1126,EUR,AUD,356646.1
1127,EUR,AUD,356961.95
1128,EUR,INR,357277.8
1129,USD,EUR,357593.65
1130,EUR,AUD,357909.5
1131,EUR,AUD,358225.35
1132,EUR,INR,358541.2
1133,USD,EUR,358857.05
1134,EUR,AUD,359172.9
1135,EUR,AUD,359488.75
1136,EUR,INR,359804.6
1137,USD,EUR,360120.45
1138,EUR,AUD,360436.3
1139,EUR,AUD,360752.15
1140,EUR,INR,361068
1141,USD,EUR,361383.85
1142,EUR,AUD,361699.7
1143,EUR,AUD,362015.55
1144,EUR,INR,362331.4
1145,USD,EUR,362647.25
1146,EUR,AUD,362963.1
1147,EUR,AUD,363278.95
1148,EUR,INR,363594.8
1149,USD,EUR,363910.65
1150,EUR,AUD,364226.5
1151,EUR,AUD,364542.35
1152,EUR,INR,364858.2
1153,USD,EUR,365174.05
1154,EUR,AUD,365489.9
1155,EUR,AUD,365805.75
1156,EUR,INR,366121.6
1157,USD,EUR,366437.45
1158,EUR,AUD,366753.3
1159,EUR,AUD,367069.15
1160,EUR,INR,367385
1161,USD,EUR,367700.85
1162,EUR,AUD,368016.7
1163,EUR,AUD,368332.55
1164,EUR,INR,368648.4
1165,USD,EUR,368964.25
1166,EUR,AUD,369280.1
1167,EUR,AUD,369595.95
1168,EUR,INR,369911.8
1169,USD,EUR,370227.65
1170,EUR,AUD,370543.5
1171,EUR,AUD,370859.35
1172,EUR,INR,371175.2
1173,USD,EUR,371491.05
1174,EUR,AUD,371806.9
1175,EUR,AUD,372122.75
1176,EUR,INR,372438.6
1177,USD,EUR,372754.45
1178,EUR,AUD,373070.3
1179,EUR,AUD,373386.15
1180,EUR,INR,373702
1181,USD,EUR,374017.85
1182,EUR,AUD,374333.7
1183,EUR,AUD,374649.55
1184,EUR,INR,374965.4
1185,USD,EUR,375281.25
1186,EUR,AUD,375597.1
1187,EUR,AUD,375912.95
1188,EUR,INR,376228.8
1189,USD,EUR,376544.65
1190,EUR,AUD,376860.5
1191,EUR,AUD,377176.35
1192,EUR,INR,377492.2
1193,USD,EUR,377808.05
1194,EUR,AUD,378123.9
1195,EUR,AUD,378439.75
1196,EUR,INR,378755.6
1197,USD,EUR,379071.45
1198,EUR,AUD,379387.3
1199,EUR,AUD,379703.15
1200,EUR,INR,380019
1201,USD,EUR,380334.85
1202,EUR,AUD,380650.7
1203,EUR,AUD,380966.55
1204,EUR,INR,381282.4
1205,USD,EUR,381598.25
1206,EUR,AUD,381914.1
1207,EUR,AUD,382229.95
1208,EUR,INR,382545.8
1209,USD,EUR,382861.65
1210,EUR,AUD,383177.5
1211,EUR,AUD,383493.35
1212,EUR,INR,383809.2
1213,USD,EUR,384125.05
1214,EUR,AUD,384440.9
1215,EUR,AUD,384756.75
1216,EUR,INR,385072.6
1217,USD,EUR,385388.45
1218,EUR,AUD,385704.3
1219,EUR,AUD,386020.15
1220,EUR,INR,386336
1221,USD,EUR,386651.85
1222,EUR,AUD,386967.7
1223,EUR,AUD,387283.55
1224,EUR,INR,387599.4
1225,USD,EUR,387915.25
1226,EUR,AUD,388231.1
1227,EUR,AUD,388546.95
1228,EUR,INR,388862.8
1229,USD,EUR,389178.65
1230,EUR,AUD,389494.5
1231,EUR,AUD,389810.35
1232,EUR,INR,390126.2
1233,USD,EUR,390442.05
1234,EUR,AUD,390757.9
1235,EUR,AUD,391073.75
1236,EUR,INR,391389.6
1237,USD,EUR,391705.45
1238,EUR,AUD,392021.3
1239,EUR,AUD,392337.15
1240,EUR,INR,392653
1241,USD,EUR,392968.85
1242,EUR,AUD,393284.7
1243,EUR,AUD,393600.55
1244,EUR,INR,393916.4
1245,USD,EUR,394232.25
1246,EUR,AUD,394548.1
1247,EUR,AUD,394863.95
1248,EUR,INR,395179.8
1249,USD,EUR,395495.65
1250,EUR,AUD,395811.5
1251,EUR,AUD,396127.35
1252,EUR,INR,396443.2
1253,USD,EUR,396759.05
1254,EUR,AUD,397074.9
1255,EUR,AUD,397390.75
1256,EUR,INR,397706.6
1257,USD,EUR,398022.45
1258,EUR,AUD,398338.3
1259,EUR,AUD,398654.15
1260,EUR,INR,398970
1261,USD,EUR,399285.85
1262,EUR,AUD,399601.7
1263,EUR,AUD,399917.55
1264,EUR,INR,400233.4
1265,USD,EUR,400549.25
1266,EUR,AUD,400865.1
1267,EUR,AUD,401180.95
1268,EUR,INR,401496.8
1269,USD,EUR,401812.65
1270,EUR,AUD,402128.5
1271,EUR,AUD,402444.35
1272,EUR,INR,402760.2
1273,USD,EUR,403076.05
1274,EUR,AUD,403391.9
1275,EUR,AUD,403707.75
1276,EUR,INR,404023.6
1277,USD,EUR,404339.45
1278,EUR,AUD,404655.3
1279,EUR,AUD,404971.15
1280,EUR,INR,405287
1281,USD,EUR,405602.85
1282,EUR,AUD,405918.7
1283,EUR,AUD,406234.55
1284,EUR,INR,406550.4
1285,USD,EUR,406866.25
1286,EUR,AUD,407182.1
1287,EUR,AUD,407497.95
1288,EUR,INR,407813.8
1289,USD,EUR,408129.65
1290,EUR,AUD,408445.5
1291,EUR,AUD,408761.35
1292,EUR,INR,409077.2
1293,USD,EUR,409393.05
1294,EUR,AUD,409708.9
1295,EUR,AUD,410024.75
1296,EUR,INR,410340.6
1297,USD,EUR,410656.45
1298,EUR,AUD,410972.3
1299,EUR,AUD,411288.15
1300,EUR,INR,411604
1301,USD,EUR,411919.85
1302,EUR,AUD,412235.7
1303,EUR,AUD,412551.55
1304,EUR,INR,412867.4
1305,USD,EUR,413183.25
1306,EUR,AUD,413499.1
1307,EUR,AUD,413814.95
1308,EUR,INR,414130.8
1309,USD,EUR,414446.65
1310,EUR,AUD,414762.5
1311,EUR,AUD,415078.35
1312,EUR,INR,415394.2
1313,USD,EUR,415710.05
1314,EUR,AUD,416025.9
1315,EUR,AUD,416341.75
1316,EUR,INR,416657.6
1317,USD,EUR,416973.45
1318,EUR,AUD,417289.3
1319,EUR,AUD,417605.15
1320,EUR,INR,417921
1321,USD,EUR,418236.85
1322,EUR,AUD,418552.7
1323,EUR,AUD,418868.55
1324,EUR,INR,419184.4
1325,USD,EUR,419500.25
1326,EUR,AUD,419816.1
1327,EUR,AUD,420131.95
1328,EUR,INR,420447.8
1329,USD,EUR,420763.65
1330,EUR,AUD,421079.5
1331,EUR,AUD,421395.35
1332,EUR,INR,421711.2
1333,USD,EUR,422027.05
1334,EUR,AUD,422342.9
1335,EUR,AUD,422658.75
1336,EUR,INR,422974.6
1337,USD,EUR,423290.45
1338,EUR,AUD,423606.3
1339,EUR,AUD,423922.15
1340,EUR,INR,424238
1341,USD,EUR,424553.85
1342,EUR,AUD,424869.7
1343,EUR,AUD,425185.55
1344,EUR,INR,425501.4
1345,USD,EUR,425817.25
1346,EUR,AUD,426133.1
1347,EUR,AUD,426448.95
1348,EUR,INR,426764.8
1349,USD,EUR,427080.65
1350,EUR,AUD,427396.5
1351,EUR,AUD,427712.35
1352,EUR,INR,428028.2
1353,USD,EUR,428344.05
1354,EUR,AUD,428659.9
1355,EUR,AUD,428975.75
1356,EUR,INR,429291.6
1357,USD,EUR,429607.45
1358,EUR,AUD,429923.3
1359,EUR,AUD,430239.15
1360,EUR,INR,430555
1361,USD,EUR,430870.85
1362,EUR,AUD,431186.7
1363,EUR,AUD,431502.55
1364,EUR,INR,431818.4
1365,USD,EUR,432134.25
1366,EUR,AUD,432450.1
1367,EUR,AUD,432765.95
1368,EUR,INR,433081.8
1369,USD,EUR,433397.65
1370,EUR,AUD,433713.5
1371,EUR,AUD,434029.35
1372,EUR,INR,434345.2
1373,USD,EUR,434661.05
1374,EUR,AUD,434976.9
1375,EUR,AUD,435292.75
1376,EUR,INR,435608.6
1377,USD,EUR,435924.45
1378,EUR,AUD,436240.3
1379,EUR,AUD,436556.15
1380,EUR,INR,436872
1381,USD,EUR,437187.85
1382,EUR,AUD,437503.7
1383,EUR,AUD,437819.55
1384,EUR,INR,438135.4
1385,USD,EUR,438451.25
1386,EUR,AUD,438767.1
1387,EUR,AUD,439082.95
1388,EUR,INR,439398.8
1389,USD,EUR,439714.65
1390,EUR,AUD,440030.5
1391,EUR,AUD,440346.35
1392,EUR,INR,440662.2
1393,USD,EUR,440978.05
1394,EUR,AUD,441293.9
1395,EUR,AUD,441609.75
1396,EUR,INR,441925.6
1397,USD,EUR,442241.45
1398,EUR,AUD,442557.3
1399,EUR,AUD,442873.15
1400,EUR,INR,443189
1401,USD,EUR,443504.85
1402,EUR,AUD,443820.7
1403,EUR,AUD,444136.55
1404,EUR,INR,444452.4
1405,USD,EUR,444768.25
1406,EUR,AUD,445084.1
1407,EUR,AUD,445399.95
1408,EUR,INR,445715.8
1409,USD,EUR,446031.65
1410,EUR,AUD,446347.5
1411,EUR,AUD,446663.35
1412,EUR,INR,446979.2
1413,USD,EUR,447295.05
1414,EUR,AUD,447610.9
1415,EUR,AUD,447926.75
1416,EUR,INR,448242.6
1417,USD,EUR,448558.45
1418,EUR,AUD,448874.3
1419,EUR,AUD,449190.15
1420,EUR,INR,449506
1421,USD,EUR,449821.85
1422,EUR,AUD,450137.7
1423,EUR,AUD,450453.55
1424,EUR,INR,450769.4
1425,USD,EUR,451085.25
1426,EUR,AUD,451401.1
1427,EUR,AUD,451716.95
1428,EUR,INR,452032.8
1429,USD,EUR,452348.65
1430,EUR,AUD,452664.5
1431,EUR,AUD,452980.35
1432,EUR,INR,453296.2
1433,USD,EUR,453612.05
1434,EUR,AUD,453927.9
1435,EUR,AUD,454243.75
1436,EUR,INR,454559.6
1437,USD,EUR,454875.45
1438,EUR,AUD,455191.3
1439,EUR,AUD,455507.15
1440,EUR,INR,455823
1441,USD,EUR,456138.85
1442,EUR,AUD,456454.7
1443,EUR,AUD,456770.55
1444,EUR,INR,457086.4
1445,USD,EUR,457402.25
1446,EUR,AUD,457718.1
1447,EUR,AUD,458033.95
1448,EUR,INR,458349.8
1449,USD,EUR,458665.65
1450,EUR,AUD,458981.5
1451,EUR,AUD,459297.35
1452,EUR,INR,459613.2
1453,USD,EUR,459929.05
1454,EUR,AUD,460244.9
1455,EUR,AUD,460560.75
1456,EUR,INR,460876.6
1457,USD,EUR,461192.45
1458,EUR,AUD,461508.3
1459,EUR,AUD,461824.15
1460,EUR,INR,462140
1461,USD,EUR,462455.85
1462,EUR,AUD,462771.7
1463,EUR,AUD,463087.55
1464,EUR,INR,463403.4
1465,USD,EUR,463719.25
1466,EUR,AUD,464035.1
1467,EUR,AUD,464350.95
1468,EUR,INR,464666.8
1469,USD,EUR,464982.65
1470,EUR,AUD,465298.5
1471,EUR,AUD,465614.35
1472,EUR,INR,465930.2
1473,USD,EUR,466246.05
1474,EUR,AUD,466561.9
1475,EUR,AUD,466877.75
1476,EUR,INR,467193.6
1477,USD,EUR,467509.45
1478,EUR,AUD,467825.3
1479,EUR,AUD,468141.15
1480,EUR,INR,468457
1481,USD,EUR,468772.85
1482,EUR,AUD,469088.7
1483,EUR,AUD,469404.55
1484,EUR,INR,469720.4
1485,USD,EUR,470036.25
1486,EUR,AUD,470352.1
1487,EUR,AUD,470667.95
1488,EUR,INR,470983.8
1489,USD,EUR,471299.65
1490,EUR,AUD,471615.5
1491,EUR,AUD,471931.35
1492,EUR,INR,472247.2
1493,USD,EUR,472563.05
1494,EUR,AUD,472878.9
1495,EUR,AUD,473194.75
1496,EUR,INR,473510.6
1497,USD,EUR,473826.45
1498,EUR,AUD,474142.3
1499,EUR,AUD,474458.15
1500,EUR,INR,474774
1501,USD,EUR,475089.85
1502,EUR,AUD,475405.7
1503,EUR,AUD,475721.55
1504,EUR,INR,476037.4
1505,USD,EUR,476353.25
1506,EUR,AUD,476669.1
1507,EUR,AUD,476984.95
1508,EUR,INR,477300.8
1509,USD,EUR,477616.65
1510,EUR,AUD,477932.5
1511,EUR,AUD,478248.35
1512,EUR,INR,478564.2
1513,USD,EUR,478880.05
1514,EUR,AUD,479195.9
1515,EUR,AUD,479511.75
1516,EUR,INR,479827.6
1517,USD,EUR,480143.45
1518,EUR,AUD,480459.3
1519,EUR,AUD,480775.15
1520,EUR,INR,481091
1521,USD,EUR,481406.85
1522,EUR,AUD,481722.7
1523,EUR,AUD,482038.55
1524,EUR,INR,482354.4
1525,USD,EUR,482670.25
1526,EUR,AUD,482986.1
1527,EUR,AUD,483301.95
1528,EUR,INR,483617.8
1529,USD,EUR,483933.65
1,USD,EUR,1000
2,EUR,AUD,2050.5
3,EUR,AUD,2051.5
4,EUR,INR,2052.5
5,USD,EUR,2578.25
6,EUR,AUD,2894.1
7,EUR,AUD,3209.95
8,EUR,INR,3525.8
9,USD,EUR,3841.65
10,EUR,AUD,4157.5
